NUDOSS,NULIGN,SOCDOS,PGPDOS,CODLAN,CODCON,ANNEES,IDZYES,DATDEB,DATFIN,DEBACQ,FINACQ,ACQUIA,REPPRE,REPECR,REPSUI,PAYESS,DRTPRI,RESTAN,AJUST1,MOTIF1,AJUST2,MOTIF2,AJUST3,MOTIF3,AJUST4,MOTIF4,DTUPD1,MOTIR1,AMREP1,CPTCR1,DTUPD2,MOTIR2,AMREP2,CPTCR2,DTUPD3,MOTIR3,AMREP3,CPTCR3,AMREPT,POSBUL,IDGPRG,SOCCLE,MATRIC,NUDOSP,IDSITU,PERPAI,USAGEP,NUMTRT,NUMBUL,TIMEST,HHPRIS,JJREEL,HHREEL,HHREST,HHACQU,JJRELI,HHRELI,JFRACT,HFRACT,MODELR,REPELR,LIBELL
1,1,xT4bixqySdaCPjAViM,1,kxS4etiinM8HNSHpWj,jPlEgLUXAvyLPyiKQS,10/30/2021,1,9/26/2021,7/5/2022,7/22/2021,10/3/2021,1,1,1,1,1,1,1,1,"",1,KlfnDlYyAkPi97s0hU,1,IUeL7AHuKOAsWj324p,1,spw3RUSfeCFGSbdwdd,11/13/2021,FmydEz24Wp97MZPdtU,1,bSRtnNMZzZzCoMKkKR,5/17/2022,hiz7Uc0NY8VyAjxELM,1,Tasbzj0DDkcwcfzRu2,9/17/2021,Yavpn7RvltysBtpBXF,1,SiooDgqut5oFmmvCoj,1,"",1,"","",1,YITUhOBx3uIRuH9OF4,g3Aj6Vo5tuk6ynBxoR,vA32WvigJKvyounnq9,vG6Zj5HkcB0NkeW2Lw,7CrFSipnz1t9loh0i9,11/18/2021,1,1,1,1,1,1,1,1,1,"","",""
2,2,PVEiz6cEmCgKVPhvnX,2,igcuG6P0lftDFBilDg,E88deMYgOFrNanvOkq,9/3/2021,2,3/23/2022,6/9/2022,5/15/2022,8/17/2021,2,2,2,2,2,2,2,2,"",2,tZmCzoq4ksLgZtYUse,2,mZxBhoeNTmld8so8Gq,2,2cUGUgjoC5Px7k1LtU,2/19/2022,Br37Z92Tqv0QzgZTGJ,2,s0zwhj07BKgmwjmUf3,9/12/2021,ZMoUOTfdLgYgh7ZBdt,2,fODHtTqujGwqNZTjcF,2/5/2022,xpsQm29XejkJYkfXna,2,po4wYBlV1BFHjIaGeo,2,"",2,"","",2,H8qgHRb9AgNvseabIK,I7J5pVg3UYcWD4w0B1,ZrH19PEsDMJVh775gK,9LjdV7V3O64WsOaw32,KE3itgQ3JPmLQupztr,11/4/2021,2,2,2,2,2,2,2,2,2,"","",""
3,3,7n42Ax3QnQZVs7RtTu,3,wTBPpSaYHoD99KosvO,O9a7iA7l7OLCA4LAKr,5/29/2022,3,1/22/2022,8/8/2021,7/6/2022,4/13/2022,3,3,3,3,3,3,3,3,"",3,dJFiIXzLs7BUOjZ0lU,3,C60GsZ1mKFvQODsR1p,3,qkMZTJvPbPSIpWO03h,7/6/2022,FLl4pXbree5RzVGJyI,3,sQAg2HzhMoeuHSj5Ig,2/22/2022,GpIv2tT6MfpCzw6Y9W,3,4VJThfjdWpf8zW9iep,1/20/2022,oq06nihseTwRVVtUbn,3,FmahbjRa8AX2HIXnM6,3,"",3,"","",3,88qZRuPTU112tvkEV6,teCcFVJl0A65eoMiws,yivd5OeFh0BHe9TFc5,we9Pqzuzzi5PrDz52N,HrEVmqPSyMsIzAf3Rm,5/24/2022,3,3,3,3,3,3,3,3,3,"","",""
4,4,zFbQ47sK7aEhP2UmPM,4,cZXu8jXrHc8te60Ywv,LXD9fY3DSJKckCTuxJ,8/13/2021,4,4/3/2022,5/12/2022,11/19/2021,12/2/2021,4,4,4,4,4,4,4,4,"",4,60oW59EfybVdiogaCD,4,IQ2andPqkkvKVV1766,4,3WfVgfq0LLpHKEVx1G,1/29/2022,Sb3eks6Pofj0pyDCYq,4,8ur1OWJ9BZ03DdlPBT,3/28/2022,G7GJZ991E56eRu3spI,4,zcDt2QDGdI3vbnVIN5,11/12/2021,Amv1MnFhYeGoHFptjx,4,yFRnME1MgdRm7Ax2HO,4,"",4,"","",4,Q55DNtlC1EOrxM5zHo,UipbJqKApG0FUP7kvM,VhH472ZAwhSOEj6Xb1,LAnZS09aiqTJp6LQrT,g9WGHkDJDZLmTQWBXJ,4/4/2022,4,4,4,4,4,4,4,4,4,"","",""
5,5,4dnjItJ0xY6H3V56RQ,5,8QPOUtLvH2eHbHh3fl,okVwd6PaHRFgjkXgpU,1/7/2022,5,3/16/2022,9/14/2021,1/16/2022,6/23/2022,5,5,5,5,5,5,5,5,"",5,yIgEvXOz25GeoPjqcw,5,fExdZ6HVUC03YxSrk2,5,bgiDsbdQE4UK1HVuY4,10/22/2021,KbsCZEshGQGg0pBetz,5,16if9Ypaeelkpg5NAv,9/13/2021,KDGNKn7oEGaTlQv2Sw,5,VGvNAzTvnkI6zjcGFL,2/10/2022,pnBaw9lxTP6uJqdTmA,5,67JkdytNhlbBzE5bfR,5,"",5,"","",5,atcCkpAlZ75FSmTOGZ,8wHlS8FfvMMmuroJyz,J27YGh8e3st2rmjPjh,JLZTika3Lp9kJKu4pu,fN3FEhWQ0m2GHOz6Jp,8/5/2021,5,5,5,5,5,5,5,5,5,"","",""
6,6,U1vzBoSlzZLudzlflb,6,cXAusJBEqhV3IzgqZy,VEunOAWYRfBdmqL834,5/16/2022,6,3/20/2022,5/2/2022,9/18/2021,2/20/2022,6,6,6,6,6,6,6,6,"",6,Dc2Iu7k7JvG7a474E1,6,vlCMyIzJFyMAvcAZjc,6,WTK4LW0jJPs17eyI7z,1/15/2022,cUApe2CEBCY8tWaB5T,6,pMkKf4qDYcH7ai3Jtj,5/3/2022,hLpEeAKoV25vHbx9Yu,6,GxBG7e9HZ4FwgbtXeL,10/1/2021,pjMjv4J7OvKi6b2S7y,6,AjJxEWTD3iCdES3RJg,6,"",6,"","",6,owroSoxD4dz7hMYyhF,g4jAHv0YJWINwtAsaQ,wycjkEPY0fdC3kmq8C,xTPUlXVLoyjavR88y9,hHRuqd5TWCz5NDfYxN,2/20/2022,6,6,6,6,6,6,6,6,6,"","",""
7,7,ANNLYOCe9ExHFFrHXS,7,WFbdNgNjXDFjUKTTnv,R44fvzSlBYNSYY9kxH,6/21/2022,7,9/21/2021,11/17/2021,7/8/2022,12/20/2021,7,7,7,7,7,7,7,7,"",7,DqOBluyP5qHXv26MtS,7,y1IeC0NBwt4uOg0GGo,7,DryMlNTtOPo1844mf4,8/11/2021,uvBnd4chN3a4nSHs90,7,ZzcAzxKj7wDB3CztHB,7/9/2022,HDdZVJVtI5p6BzwL4D,7,ty1BTilqZiaO6Jz23Z,11/5/2021,3TlAKeQG8KVFTZ2qfO,7,96j7sU3YV9Qw2mOsRp,7,"",7,"","",7,hh0VRoVA7Wu9NLvaFf,9kJDGqPy1GjpWwUaep,mgxRrdGKSVJaiaQwsw,ePLHCjtz1o0s7O0EmF,s1mV3vvSdZ1Zmr5aWP,11/17/2021,7,7,7,7,7,7,7,7,7,"","",""
8,8,we1FovXEzr2PIHsmnM,8,o7AFwsZuyCrHaDweCW,QciIUgYsg3cqcx5lPm,6/20/2022,8,7/9/2022,11/7/2021,7/8/2022,3/10/2022,8,8,8,8,8,8,8,8,"",8,lWL28t7lxq2ecUD2uh,8,JxTM6kzqRbGQwlgSHg,8,ZEKvqgxkpQzi3R81bB,2/24/2022,MPkmCvWdIIDPiqx2Ua,8,RkeFIOjgGCYSP5DyQi,10/8/2021,OCAl9E1QVOkU5D2bIB,8,uQp6yJZG1lIaNUIgki,5/17/2022,ZxMjoLQ0nR3uLMREme,8,Q1scLWQgM9QhUlHuOs,8,"",8,"","",8,WcZJohTXG3PVKJe7LM,zN3vmVftEwbeqLwQWe,qiwTmCvxptIIqM41sy,G0buKvNNmTDRcHNNvr,Rjh1VrG5cIOsOVnPPg,8/7/2021,8,8,8,8,8,8,8,8,8,"","",""
9,9,WmMs4tFjAbJfL8GzdW,9,0tJSOMVzQ1NBnQW1Hd,2EvB9eoAMbKnU8SwmK,6/10/2022,9,10/10/2021,7/24/2021,5/6/2022,1/13/2022,9,9,9,9,9,9,9,9,"",9,Xwk6GmHVPVciK6fvtk,9,NkbnmoC9iMJiPeQ8Cg,9,hbTpzD04kj6RSP1coX,2/4/2022,y7XQWcM0KuE6vx6tRq,9,kIBXEjefWaPShf1CnS,12/28/2021,gAvbS78A94f72xUJnF,9,80MlB8VsoTHSRQ99ud,3/18/2022,b8x1PCZoKF5KITDp57,9,QOJRYxybnzn6Mi6Lhz,9,"",9,"","",9,H8xr2ezsdgSnTTY2bH,tmKHmtIgtpBNi79ul6,XDht28Ai3nCSEpEign,VzVUFxpVr0xu716QL2,UXP4WOobAAlJKLKNp3,2/12/2022,9,9,9,9,9,9,9,9,9,"","",""
10,10,2Yohfpcm1OG4fJCld0,10,3QLwVlhFBKLdzH2kjk,nHXh0YOJ6ZHhn6ucZ1,1/31/2022,10,9/9/2021,8/2/2021,10/4/2021,10/15/2021,10,10,10,10,10,10,10,10,"",10,AldAn79gb7vNSDJ9ND,10,XP3C4qC4OfjA2Fgo1b,10,BRwsF2WeIWYqhsi3Eu,3/24/2022,uH27scKCIsnsZwcZIl,10,VmQgqp7GLwXhZ0peAq,8/1/2021,u3o0mlY5nF4cpQvQEz,10,cfnI4nP8QQBFlaVtij,10/17/2021,6wCsuwslmUwItXMWKj,10,ArODMDmetuN3Xiwwb6,10,"",10,"","",10,j5sO54rD1o0xvg1r7B,F1OV64zPDoLGNM4wJ4,JWr7J5Hua43hXaGh2F,dRDftMyPPlIDOUrXkD,bH8cC8NK4iSTmxxYTW,4/12/2022,10,10,10,10,10,10,10,10,10,"","",""
