TABLE_NAME                    ,COLUMN_NAME                   ,DATA_LENGTH
ZX00                          ,NUDOSS                        ,22
ZX00                          ,SOCDOS                        ,3
ZX00                          ,PGPDOS                        ,22
ZX00                          ,IDGPRG                        ,22
ZX00                          ,SOCCLE                        ,3
ZX00                          ,MATRIC                        ,12
ZX00                          ,NUDOSP                        ,22
ZX00                          ,IDSITU                        ,2
ZX00                          ,PERPAI                        ,8
ZX00                          ,USAGEP                        ,1
ZX00                          ,NUMTRT                        ,1
ZX00                          ,NUMBUL                        ,2
ZX00                          ,TIMEST                        ,7
ZX00                          ,IDPAIE                        ,3
ZX00                          ,TYPAIE                        ,1
ZX00                          ,TYUSPA                        ,1
ZX00                          ,NUGEST                        ,22
ZX00                          ,NOMSAL                        ,40
ZX00                          ,TEMAJM                        ,1
ZX00                          ,TILOAD                        ,7
ZX00                          ,FLGNTG                        ,1
ZX0M                          ,NUDOSS                        ,22
ZX0M                          ,NULIGN                        ,22
ZX0M                          ,SOCDOS                        ,3
ZX0M                          ,PGPDOS                        ,22
ZX0M                          ,IDCONT                        ,3
ZX0M                          ,DATDEB                        ,7
ZX0M                          ,CODLAN                        ,2
ZX0M                          ,DATFIN                        ,7
ZX0M                          ,TEMCON                        ,1
ZX0M                          ,TYPCON                        ,8
ZX0M                          ,MODTYC                        ,3
ZX0M                          ,REPTYC                        ,3
ZX0M                          ,LIBTYC                        ,45
ZX0M                          ,NATCON                        ,2
ZX0M                          ,MODNAC                        ,3
ZX0M                          ,REPNAC                        ,3
ZX0M                          ,LIBNAC                        ,45
ZX0M                          ,DURANN                        ,22
ZX0M                          ,DURMOI                        ,22
ZX0M                          ,DURJOU                        ,22
ZX0M                          ,DEBESS                        ,7
ZX0M                          ,FINESS                        ,7
ZX0M                          ,NBRPRO                        ,22
ZX0M                          ,TITPOS                        ,1
ZX0M                          ,TEMCAR                        ,1
ZX0M                          ,QUALIF                        ,8
ZX0M                          ,MODQUA                        ,3
ZX0M                          ,REPQUA                        ,3
ZX0M                          ,LIBQUA                        ,45
